Media ID;R_EX_glc__D_e_i;R_EX_xyl__D_e_i;R_EX_succ_e_i;R_EX_ala__L_e_i;R_EX_arg__L_e_i;R_EX_asn__L_e_i;R_EX_asp__L_e_i;R_EX_cys__L_e_i;R_EX_glu__L_e_i;R_EX_gln__L_e_i;R_EX_gly_e_i;R_EX_his__L_e_i;R_EX_ile__L_e_i;R_EX_leu__L_e_i;R_EX_lys__L_e_i;R_EX_met__L_e_i;R_EX_phe__L_e_i;R_EX_pro__L_e_i;R_EX_ser__L_e_i;R_EX_thr__L_e_i;R_EX_trp__L_e_i;R_EX_tyr__L_e_i;R_EX_val__L_e_i;R_EX_ade_e_i;R_EX_gua_e_i;R_EX_csn_e_i;R_EX_ura_e_i;R_EX_thymd_e_i;GR_AVG;GR_STD;Stdev (%);Observations
140;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0,624189553;0,015042595;2,409940278;
141;0;1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0,456087755;0,022807178;5,000611757;
142;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0,505233949;0,063001401;12,46974813;
143;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0,521561127;0,001784093;0,342067832;
144;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,458583953;0,023413253;5,105554286;
145;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,49386516;0,003660605;0,741215567;
146;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,452868942;0,00694067;1,532600058;
147;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0,559740942;0,020826;3,720649767;
148;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0,474513382;0,04754029;10,01874586;
149;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0,416480882;0,019356047;4,647523559;
150;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0,494446616;0,054006589;10,92263301;
151;0;1;0;1;0;1;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0,421284923;0,010270083;2,437799683;
152;0;1;0;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,733522996;0,030725218;4,188719185;
153;0;1;0;1;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0,432742346;0,025577205;5,910492801;
154;0;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0,520412103;0,009426606;1,811373374;
155;0;1;0;1;1;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0,415791923;0,010900395;2,621598491;
156;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,286235101;0,019836233;6,930049117;
